# ik  ibnd  E(eV)  inv_tau_SERTA(Ry)  inv_tau_MRTA(Ry)  tau_SERTA(fs)  tau_MRTA(fs)
   25013   2   -4.185333    1.807511E-04    1.527472E-04    2.676609E+02    3.167325E+02
   25014   2   -4.180878    1.807266E-04    1.515628E-04    2.676972E+02    3.192075E+02
   25015   2   -4.175375    1.808382E-04    1.502441E-04    2.675319E+02    3.220093E+02
   25016   2   -4.168868    1.811097E-04    1.488051E-04    2.671309E+02    3.251232E+02
   25017   2   -4.161406    1.815672E-04    1.472670E-04    2.664577E+02    3.285190E+02
   25018   2   -4.153048    1.822367E-04    1.456546E-04    2.654788E+02    3.321556E+02
   25019   2   -4.143854    1.831475E-04    1.439984E-04    2.641587E+02    3.359760E+02
   25020   2   -4.133889    1.842735E-04    1.422848E-04    2.625445E+02    3.400222E+02
   25021   2   -4.123222    1.840852E-04    1.393439E-04    2.628131E+02    3.471986E+02
   25022   2   -4.111922    1.669788E-04    1.236484E-04    2.897374E+02    3.912708E+02
   25023   2   -4.100060    9.774793E-05    7.081080E-05    4.949466E+02    6.832292E+02
   25295   2   -4.100822    1.064055E-04    8.204724E-05    4.546756E+02    5.896603E+02
   25296   2   -4.113194    1.758922E-04    1.380899E-04    2.750549E+02    3.503514E+02
   25297   2   -4.125020    1.899820E-04    1.517123E-04    2.546557E+02    3.188930E+02
   25298   2   -4.136230    1.895057E-04    1.537416E-04    2.552958E+02    3.146838E+02
   25299   2   -4.146752    1.882600E-04    1.549104E-04    2.569850E+02    3.123095E+02
   25300   2   -4.156517    1.872087E-04    1.559809E-04    2.584281E+02    3.101663E+02
   25301   2   -4.165458    1.863255E-04    1.569348E-04    2.596531E+02    3.082808E+02
   25302   2   -4.173514    1.855666E-04    1.577389E-04    2.607151E+02    3.067093E+02
   25303   2   -4.180626    1.848955E-04    1.583653E-04    2.616613E+02    3.054961E+02
   25304   2   -4.186742    1.842857E-04    1.587946E-04    2.625272E+02    3.046703E+02
   25305   2   -4.191816    1.837171E-04    1.590151E-04    2.633396E+02    3.042478E+02
   25306   2   -4.195809    1.831779E-04    1.590248E-04    2.641148E+02    3.042293E+02
   25307   2   -4.198690    1.826624E-04    1.588300E-04    2.648602E+02    3.046023E+02
   25308   2   -4.200437    1.821712E-04    1.584432E-04    2.655743E+02    3.053459E+02
   25309   2   -4.201038    1.817104E-04    1.578784E-04    2.662479E+02    3.064383E+02
   25310   2   -4.200489    1.812907E-04    1.571465E-04    2.668642E+02    3.078655E+02
   25311   2   -4.198795    1.809272E-04    1.562533E-04    2.674003E+02    3.096256E+02
   25312   2   -4.195971    1.806384E-04    1.552007E-04    2.678280E+02    3.117254E+02
   25313   2   -4.192042    1.804453E-04    1.539916E-04    2.681145E+02    3.141731E+02
   25314   2   -4.187039    1.803716E-04    1.526331E-04    2.682240E+02    3.169692E+02
   25315   2   -4.181003    1.804421E-04    1.511392E-04    2.681192E+02    3.201023E+02
   25316   2   -4.173981    1.806833E-04    1.495307E-04    2.677614E+02    3.235455E+02
   25317   2   -4.166026    1.811217E-04    1.478336E-04    2.671133E+02    3.272597E+02
   25318   2   -4.157197    1.817861E-04    1.460790E-04    2.661370E+02    3.311906E+02
   25319   2   -4.147557    1.827054E-04    1.442992E-04    2.647978E+02    3.352757E+02
   25320   2   -4.137173    1.838930E-04    1.425143E-04    2.630878E+02    3.394746E+02
   25321   2   -4.126114    1.846639E-04    1.402020E-04    2.619894E+02    3.450736E+02
   25322   2   -4.114449    1.742602E-04    1.293486E-04    2.776308E+02    3.740281E+02
   25323   2   -4.102249    1.140515E-04    8.271823E-05    4.241944E+02    5.848771E+02
   25594   2   -4.102475    1.192028E-04    9.210845E-05    4.058630E+02    5.252504E+02
   25595   2   -4.115166    1.814462E-04    1.428434E-04    2.666355E+02    3.386925E+02
   25596   2   -4.127340    1.908319E-04    1.529180E-04    2.535216E+02    3.163787E+02
   25597   2   -4.138924    1.898815E-04    1.546812E-04    2.547905E+02    3.127723E+02
   25598   2   -4.149849    1.886716E-04    1.559943E-04    2.564245E+02    3.101395E+02
   25599   2   -4.160045    1.876702E-04    1.572307E-04    2.577926E+02    3.077008E+02
   25600   2   -4.169444    1.868311E-04    1.583559E-04    2.589504E+02    3.055144E+02
   25601   2   -4.177982    1.861085E-04    1.593338E-04    2.599559E+02    3.036394E+02
   25602   2   -4.185599    1.854641E-04    1.601329E-04    2.608591E+02    3.021240E+02
   25603   2   -4.192242    1.848682E-04    1.607285E-04    2.617000E+02    3.010046E+02
   25604   2   -4.197860    1.842994E-04    1.611037E-04    2.625076E+02    3.003035E+02
   25605   2   -4.202412    1.837435E-04    1.612503E-04    2.633018E+02    3.000304E+02
   25606   2   -4.205863    1.831932E-04    1.611697E-04    2.640927E+02    3.001804E+02
   25607   2   -4.208188    1.826475E-04    1.608712E-04    2.648817E+02    3.007374E+02
   25608   2   -4.209368    1.821124E-04    1.603698E-04    2.656600E+02    3.016777E+02
   25609   2   -4.209396    1.815998E-04    1.596804E-04    2.664100E+02    3.029802E+02
   25610   2   -4.208273    1.811247E-04    1.588122E-04    2.671088E+02    3.046366E+02
   25611   2   -4.206008    1.807044E-04    1.577681E-04    2.677301E+02    3.066525E+02
   25612   2   -4.202621    1.803602E-04    1.565508E-04    2.682410E+02    3.090371E+02
   25613   2   -4.198140    1.801168E-04    1.551671E-04    2.686035E+02    3.117930E+02
   25614   2   -4.192600    1.800006E-04    1.536307E-04    2.687769E+02    3.149111E+02
   25615   2   -4.186046    1.800390E-04    1.519626E-04    2.687195E+02    3.183678E+02
   25616   2   -4.178526    1.802597E-04    1.501897E-04    2.683906E+02    3.221259E+02
   25617   2   -4.170097    1.806910E-04    1.483437E-04    2.677499E+02    3.261346E+02
   25618   2   -4.160819    1.813617E-04    1.464584E-04    2.667598E+02    3.303328E+02
   25619   2   -4.150757    1.823002E-04    1.445683E-04    2.653865E+02    3.346515E+02
   25620   2   -4.139977    1.835319E-04    1.427050E-04    2.636054E+02    3.390211E+02
   25621   2   -4.128549    1.847410E-04    1.406311E-04    2.618802E+02    3.440206E+02
   25622   2   -4.116543    1.784818E-04    1.327646E-04    2.710640E+02    3.644043E+02
   25623   2   -4.104029    1.266468E-04    9.196067E-05    3.820072E+02    5.260945E+02
   25893   2   -4.103750    1.286715E-04    9.959036E-05    3.759962E+02    4.857900E+02
   25894   2   -4.116734    1.848238E-04    1.458262E-04    2.617629E+02    3.317649E+02
   25895   2   -4.129228    1.912957E-04    1.537256E-04    2.529068E+02    3.147165E+02
   25896   2   -4.141161    1.901592E-04    1.554409E-04    2.544184E+02    3.112438E+02
   25897   2   -4.152463    1.890031E-04    1.569059E-04    2.559747E+02    3.083377E+02
   25898   2   -4.163063    1.880609E-04    1.583100E-04    2.572570E+02    3.056030E+02
   25899   2   -4.172894    1.872782E-04    1.596119E-04    2.583323E+02    3.031103E+02
   25900   2   -4.181891    1.866058E-04    1.607722E-04    2.592632E+02    3.009226E+02
   25901   2   -4.189993    1.860035E-04    1.617566E-04    2.601026E+02    2.990914E+02
   25902   2   -4.197142    1.854393E-04    1.625358E-04    2.608941E+02    2.976576E+02
   25903   2   -4.203288    1.848890E-04    1.630873E-04    2.616705E+02    2.966509E+02
   25904   2   -4.208385    1.843349E-04    1.633956E-04    2.624570E+02    2.960911E+02
   25905   2   -4.212396    1.837615E-04    1.634500E-04    2.632760E+02    2.959927E+02
   25906   2   -4.215290    1.831584E-04    1.632479E-04    2.641430E+02    2.963591E+02
   25907   2   -4.217047    1.825368E-04    1.628087E-04    2.650425E+02    2.971586E+02
   25908   2   -4.217654    1.819344E-04    1.621723E-04    2.659201E+02    2.983247E+02
   25909   2   -4.217106    1.813832E-04    1.613662E-04    2.667281E+02    2.998149E+02
   25910   2   -4.215410    1.808855E-04    1.603823E-04    2.674619E+02    3.016543E+02
   25911   2   -4.212579    1.804358E-04    1.591997E-04    2.681287E+02    3.038951E+02
   25912   2   -4.208638    1.800508E-04    1.578178E-04    2.687020E+02    3.065561E+02
   25913   2   -4.203617    1.797658E-04    1.562566E-04    2.691279E+02    3.096190E+02
   25914   2   -4.197556    1.796163E-04    1.545427E-04    2.693520E+02    3.130526E+02
   25915   2   -4.190500    1.796328E-04    1.527055E-04    2.693272E+02    3.168190E+02
   25916   2   -4.182503    1.798446E-04    1.507779E-04    2.690100E+02    3.208694E+02
   25917   2   -4.173622    1.802806E-04    1.487954E-04    2.683594E+02    3.251446E+02
   25918   2   -4.163917    1.809691E-04    1.467941E-04    2.673385E+02    3.295773E+02
   25919   2   -4.153456    1.819387E-04    1.448106E-04    2.659137E+02    3.340916E+02
   25920   2   -4.142305    1.832177E-04    1.428792E-04    2.640575E+02    3.386078E+02
   25921   2   -4.130533    1.846522E-04    1.408888E-04    2.620061E+02    3.433914E+02
